"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*05o4b*","Matty Cash","AVL","D","53","Ekitiki","FUL Sun 2:00PM","57.51","11.5","55%","+4.8%"
"*032f9*","Jordan Pickford","EVE","G","54","EDL4EFL","WHU Mon 8:00PM","57.5","11.5","97%","-1.1%"
"*06y9z*","Martin Zubimendi","ARS","M","55","Fsail93","@NEW Sun 4:30PM","56.51","11.3","88%","+16.5%"
"*04qor*","Bernd Leno","FUL","G","56","BukAke","@AVL Sun 2:00PM","56.25","11.25","53%","+1.4%"
"*03hff*","Josh Cullen","BUR","M","57","Rozza08","@MCI Sat 3:00PM","56.09","11.22","67%","+2.6%"
"*06fuw*","Djordje Petrovic","BOU","G","58","BMB","@LEE Sat 3:00PM","55.5","11.1","62%","-8.3%"
"*04tsb*","Viktor Gyokeres","ARS","F","59","BukAke","@NEW Sun 4:30PM","54.87","10.97","97%","0%"
"*062oh*","Jake OBrien","EVE","D","60","ojag7","WHU Mon 8:00PM","54.65","10.93","27%","+1.8%"
"*03yqz*","Joe Rodon","LEE","D","61","W <small>(Fri)</small>","BOU Sat 3:00PM","54.5","10.9","20%","+6.9%"
"*06cmm*","Dominik Szoboszlai","LIV","M","62","Dank95","@CRY Sat 3:00PM","54.35","10.87","100%","+0.1%"
"*06v06*","Tijjani Reijnders","MCI","M","63","CTM","BUR Sat 3:00PM","54.15","10.83","99%","-0.1%"
"*05opj*","Elliot Anderson","NOT","M","64","Fsail93","SUN Sat 5:30PM","54.05","10.81","97%","+0.3%"
"*05w9i*","Marc Cucurella","CHE","D","65","BukAke","BHA Sat 3:00PM","54.02","10.8","100%","+0.7%"
"*038ze*","Alex Iwobi","FUL","M","66","Rozza08","@AVL Sun 2:00PM","53.99","10.8","95%","-1.9%"
"*06uyc*","Adrien Truffert","BOU","D","67","Ekitiki","@LEE Sat 3:00PM","53.75","10.75","92%","-0.7%"
"*05os8*","Joachim Andersen","FUL","D","68","CUM","@AVL Sun 2:00PM","53.55","10.71","51%","+9.3%"
"*06mn0*","Igor Thiago","BRF","F","69","Rozza08","MUN Sat 12:30PM","53.2","10.64","94%","+0.6%"
"*062ci*","Kaoru Mitoma","BHA","M","70","joester1","@CHE Sat 3:00PM","52.39","10.48","99%","+0.1%"
"*06v6n*","Quilindschy Hartman","BUR","D","71","BukAke","@MCI Sat 3:00PM","52.25","10.45","8%","+3.5%"
"*06jgr*","Maxime Esteve","BUR","D","73","FA","@MCI Sat 3:00PM","51.99","10.4","13%","+0.7%"
"*06c4h*","Hjalmar Ekdal","BUR","D","72","FA","@MCI Sat 3:00PM","51.99","10.4","5%","+2.3%"
"*0639x*","Marcus Tavernier","BOU","M","74","BukAke","@LEE Sat 3:00PM","51.22","10.24","96%","-1.3%"
"*05r8o*","Jean-Philippe Mateta","CRY","F","75","CTM","LIV Sat 3:00PM","51.07","10.21","99%","-0.2%"
"*062h7*","Tyler Adams","BOU","M","76","Dank95","@LEE Sat 3:00PM","50.3","10.06","16%","-0.6%"
"*05w7t*","Pape Sarr","TOT","M","77","ojag7","WOL Sat 8:00PM","49.8","12.45","67%","+3.8%"
"*06r7k*","Emmanuel Agbadou","WOL","D","78","EDL4EFL","@TOT Sat 8:00PM","49.8","9.96","10%","+3.4%"
"*03rxa*","Idrissa Gueye","EVE","M","79","EDL4EFL","WHU Mon 8:00PM","49.5","9.9","14%","+0.6%"
"*05gcc*","Kiernan Dewsbury-Hall","EVE","M","80","W <small>(Fri)</small>","WHU Mon 8:00PM","49.3","9.86","86%","-0.4%"
"*06v0t*","Wilson Isidor","SUN","F","81","BukAke","@NOT Sat 5:30PM","48.89","9.78","30%","+2.2%"
"*0700u*","Bafode Diakite","BOU","D","82","ojag7","@LEE Sat 3:00PM","48.5","12.12","30%","-2.3%"
"*06c4o*","Lyle Foster","BUR","F","83","FA","@MCI Sat 3:00PM","48.21","9.64","24%","+5.3%"
"*06p6j*","Evanilson","BOU","F","84","feeneya","@LEE Sat 3:00PM","48","9.6","99%","+0.5%"
"*06mn7*","Lucas Bergvall","TOT","M","85","joester1","WOL Sat 8:00PM","48","9.6","58%","+47.4%"
"*02m5b*","Chris Wood","NOT","F","86","EDL4EFL","SUN Sat 5:30PM","47.85","9.57","99%","-0.2%"
"*05oeh*","Kenny Tete","FUL","D","87","FPLL","@AVL Sun 2:00PM","47.3","9.46","48%","+2.6%"
"*05nns*","Danny Ballard","SUN","D","88","Rozza08","@NOT Sat 5:30PM","47.3","15.77","43%","+0.8%"
"*05trb*","Bryan Mbeumo","MUN","F","89","BMB","@BRF Sat 12:30PM","46.91","9.38","100%","0%"
