"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","Pen","ACNC","Int","CLR","CoS","BS","AER","SBON","SBOF","PKM","PKD","OG","GAO","CS"
"*06clz*","Malo Gusto","CHE","D","D","83","BMB","@NEW Sat 12:30PM","34.6","34.6","66%","+8%","1","1","90","1","2","1","2","0","0","0","0","0","0","1","4","0","0","1","0","0","0","0","0","0","1"
"*04mi4*","Callum Hudson-Odoi","NOT","F","F","158","Ekitiki","@FUL Mon 8:00PM","34.06","34.06","63%","0%","1","1","88","2","2","1","2","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","1"
"*06fxu*","Ibrahim Sangare","NOT","M","M","161","FA","@FUL Mon 8:00PM","33.35","33.35","2%","0%","1","1","90","1","2","2","1","2","2","0","0","0","0","0","3","0","1","2","0","0","0","0","0","0","1"
"*03rxs*","Harry Wilson","FUL","M","M","52","CUM","NOT Mon 8:00PM","33.21","33.21","90%","+15%","1","1","88","1","3","2","2","0","1","0","0","0","1","1","1","1","0","0","0","1","0","0","0","2","0"
"*05uht*","Morgan Rogers","AVL","M","M","37","FPLL","MUN Sun 4:30PM","31.05","31.05","99%","0%","1","1","90","2","0","0","2","2","1","0","0","0","0","1","1","3","0","1","0","0","0","0","0","2","0"
"*05gcr*","Bruno Fernandes","MUN","M","M","2","CTM","@AVL Sun 4:30PM","29.05","29.05","100%","0%","1","1","90","1","5","1","1","1","0","0","0","0","1","0","5","0","0","3","0","0","0","0","0","4","0"
"*0639x*","Marcus Tavernier","BOU","M","M","54","BukAke","BUR Sat 3:00PM","28.96","28.96","96%","0%","1","1","88","1","3","1","3","1","0","0","0","0","0","0","2","0","0","2","0","1","0","0","0","4","0"
"*06zbz*","Hugo Ekitike","LIV","F","F","82","Fsail93","@TOT Sat 5:30PM","28.79","28.79","96%","+1%","1","1","77","2","0","0","2","1","1","0","0","0","0","0","1","3","0","1","0","1","0","0","0","0","1"
"*061vq*","Erling Haaland","MCI","F","F","1","joester1","WHU Sat 3:00PM","28.01","28.01","100%","0%","1","1","88","2","0","0","2","2","2","0","0","0","0","0","3","0","0","3","0","1","0","0","0","0","1"
"*04y92*","Bukayo Saka","ARS","M","M","14","feeneya","@EVE Sat 8:00PM","28","28","100%","0%","1","1","90","0","3","2","0","0","0","0","0","0","5","0","0","4","0","3","0","0","0","0","0","1","0"
"*067yz*","Matheus Cunha","MUN","F","F","120","FPLL","@AVL Sun 4:30PM","25.25","25.25","99%","0%","1","1","90","1","3","0","3","1","1","0","0","0","1","0","1","2","0","2","0","0","0","0","0","4","0"
"*0554g*","Calvin Bassey","FUL","D","D","133","FA","NOT Mon 8:00PM","23.3","23.3","10%","+3%","1","1","90","1","0","0","1","2","1","0","0","0","1","2","4","2","1","2","0","0","0","0","0","2","0"
"*063zi*","Matheus Nunes","MCI","D","D","51","Rozza08","WHU Sat 3:00PM","22.45","22.45","96%","+1%","1","1","90","0","1","1","0","2","1","0","0","0","2","1","5","0","0","0","0","0","0","0","0","0","1"
"*05opl*","Wesley Fofana","CHE","D","D","159","Dank95","@NEW Sat 12:30PM","22.3","22.3","50%","+17%","1","1","90","0","0","0","0","2","1","1","0","0","0","3","12","1","3","4","0","0","0","0","0","0","1"
"*04abb*","Phil Foden","MCI","M","M","21","Ekitiki","WHU Sat 3:00PM","21.3","21.3","100%","0%","1","1","90","1","0","0","2","0","3","0","0","0","0","0","2","4","0","1","0","0","0","0","0","0","1"
"*0703c*","Nordi Mukiele","SUN","D","D","25","Dank95","@BHA Sat 3:00PM","21.05","21.05","74%","-1%","1","1","90","0","0","1","0","0","1","1","0","0","0","3","3","0","1","3","0","0","0","0","0","0","1"
"*049tq*","Dominic Calvert-Lewin","LEE","F","F","95","ojag7","CRY Sat 8:00PM","20.3","20.3","69%","+23%","1","1","90","1","0","0","2","0","0","0","0","0","1","0","2","0","0","6","0","0","0","0","0","1","0"
"*06mw0*","Nikola Milenkovic","NOT","D","D","122","feeneya","@FUL Mon 8:00PM","20.3","20.3","49%","-5%","1","1","90","0","0","0","0","1","0","0","0","0","0","3","6","0","2","4","0","0","0","0","0","0","1"
"*06ex4*","Josko Gvardiol","MCI","D","D","101","Rozza08","WHU Sat 3:00PM","19.55","19.55","98%","+1%","1","1","90","0","0","0","1","0","0","0","0","0","0","2","7","0","1","4","0","0","0","0","0","0","1"
"*06eo0*","Lesley Ugochukwu","BUR","M","M","184","FA","@BOU Sat 3:00PM","19.54","19.54","3%","0%","1","1","82","1","1","0","3","1","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","3","0"
"*06v07*","Rayan Cherki","MCI","M","M","145","joester1","WHU Sat 3:00PM","18.75","18.75","98%","+2%","1","1","90","0","3","1","0","0","2","0","0","0","1","0","1","5","0","0","0","0","0","0","0","0","1"
"*046c5*","Jarrod Bowen","WHU","F","F","22","Rozza08","@MCI Sat 3:00PM","18.7","18.7","100%","0%","1","1","90","1","1","0","1","2","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","3","0"
"*0700t*","Omar Alderete","SUN","D","D","79","BMB","@BHA Sat 3:00PM","18.45","18.45","55%","-2%","1","1","90","0","1","0","0","0","1","0","0","0","0","2","5","0","1","5","0","0","0","0","0","0","1"
"*05a6e*","Neco Williams","NOT","D","D","46","EDL4EFL","@FUL Mon 8:00PM","18.1","18.1","87%","-4%","1","1","90","0","2","0","1","0","4","0","0","0","2","3","2","1","1","0","0","0","0","0","0","0","1"
"*0700p*","Malick Thiaw","NEW","D","D","62","EDL4EFL","CHE Sat 12:30PM","18.05","18.05","64%","-3%","1","1","90","0","0","0","0","0","0","1","0","0","0","0","21","0","1","11","0","0","0","0","0","1","0"
"*068y0*","Antoine Semenyo","BOU","F","F","3","CUM","BUR Sat 3:00PM","17.85","17.85","100%","0%","1","1","90","1","2","0","1","0","1","1","0","0","0","0","3","1","0","6","0","0","0","0","0","4","0"
"*05r34*","Amad Diallo","MUN","M","M","41","ojag7","@AVL Sun 4:30PM","17.45","17.45","99%","0%","1","1","90","1","1","0","1","1","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","4","0"
"*04yo7*","Youri Tielemans","AVL","M","M","198","BMB","MUN Sun 4:30PM","17.2","17.2","80%","+2%","1","1","90","0","1","1","0","2","1","0","0","0","1","1","0","1","2","2","0","0","0","0","0","2","0"
"*05mzz*","Pascal Struijk","LEE","D","D","162","FA","CRY Sat 8:00PM","17.1","17.1","5%","0%","1","1","90","0","2","0","0","2","0","0","0","0","0","1","14","0","1","5","0","0","0","0","0","1","0"
"*05omu*","Ruben Dias","MCI","D","D","27","FPLL","WHU Sat 3:00PM","16.8","16.8","91%","+3%","1","1","90","0","0","0","0","0","0","0","0","0","0","1","8","0","4","1","0","0","0","0","0","0","1"
"*05u7f*","Ibrahima Konate","LIV","D","D","57","feeneya","@TOT Sat 5:30PM","16.55","16.55","91%","-2%","1","1","90","0","0","0","0","1","0","1","0","0","0","2","7","1","2","2","0","0","0","0","0","0","1"
"*06do9*","Milos Kerkez","LIV","D","D","138","Fsail93","@TOT Sat 5:30PM","16.45","16.45","82%","-1%","1","1","90","0","1","0","0","1","0","0","0","0","0","1","3","0","0","4","0","0","0","0","0","0","1"
"*03aqp*","Mohamed Salah","LIV","F","F","77","Fsail93","@TOT Sat 5:30PM","16.26","16.26","99%","0%","1","0","63","0","5","1","1","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1"
"*02lk5*","Jordan Henderson","BRF","M","M","129","FA","@WOL Sat 3:00PM","16.1","16.1","12%","+1%","1","1","90","1","2","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"*06yb9*","Reinildo Isnard Mandava","SUN","D","D","163","ojag7","@BHA Sat 3:00PM","16.05","16.05","8%","0%","1","1","90","0","0","0","0","2","0","1","0","0","0","2","5","1","1","2","0","0","0","0","0","0","1"
"*05nns*","Danny Ballard","SUN","D","D","36","Rozza08","@BHA Sat 3:00PM","15.8","15.8","74%","-1%","1","1","90","0","0","0","0","0","0","0","0","0","0","1","8","0","0","4","0","0","0","0","0","0","1"
"*04sat*","Emile Smith Rowe","FUL","M","M","243","feeneya","NOT Mon 8:00PM","15.51","15.51","36%","+8%","1","1","88","1","0","0","1","2","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","2","0"
"*070hq*","Piero Hincapie","ARS","D","D","270","joester1","@EVE Sat 8:00PM","15.45","15.45","54%","+13%","1","1","90","0","1","0","0","0","0","0","0","0","0","3","7","0","1","6","0","0","0","0","0","1","0"
"*06fxe*","Ryan Gravenberch","LIV","M","M","65","Rozza08","@TOT Sat 5:30PM","15.1","15.1","95%","+1%","1","1","90","0","2","0","1","1","1","0","0","0","0","1","4","2","1","2","0","0","0","0","0","0","1"
"*070f9*","Yeremy Pino","CRY","M","M","151","ojag7","@LEE Sat 8:00PM","15.1","15.1","51%","+2%","1","1","90","0","2","0","2","4","2","0","0","0","0","1","0","2","0","1","0","0","0","0","0","3","0"
"*03vlj*","Virgil van Dijk","LIV","D","D","17","Rozza08","@TOT Sat 5:30PM","15.05","15.05","100%","0%","1","1","90","0","0","0","0","0","0","0","0","0","0","0","5","1","1","3","0","0","0","0","0","0","1"
"*05u1m*","Nathan Collins","BRF","D","D","104","Ekitiki","@WOL Sat 3:00PM","15.05","15.05","59%","+7%","1","1","90","0","0","0","0","0","0","0","0","0","0","1","9","0","3","6","0","0","0","0","0","1","0"
"*05220*","Sepp van den Berg","BRF","D","D","69","Dank95","@WOL Sat 3:00PM","15.05","15.05","34%","+2%","1","1","90","0","0","0","0","0","1","0","0","0","0","2","11","0","1","7","0","0","0","0","0","1","0"
"*06p6j*","Evanilson","BOU","F","F","150","feeneya","BUR Sat 3:00PM","15.04","15.04","89%","-2%","1","1","77","1","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","3","0"
"*06v21*","Florian Wirtz","LIV","M","M","157","CUM","@TOT Sat 5:30PM","14.99","14.99","99%","0%","1","1","77","0","3","0","0","4","2","0","0","0","0","2","1","2","0","1","0","1","0","0","0","0","1"
"*05l8q*","Cole Palmer","CHE","M","M","284","BMB","@NEW Sat 12:30PM","14.94","14.94","100%","0%","1","1","57","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"*056iy*","Pedro Neto","CHE","F","F","40","BMB","@NEW Sat 12:30PM","14.35","14.35","100%","0%","1","1","90","0","2","1","0","1","1","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","1"
"*04mup*","Trevoh Chalobah","CHE","D","D","11","CTM","@NEW Sat 12:30PM","14.3","14.3","89%","0%","1","1","90","0","0","0","0","2","1","0","0","0","0","0","8","0","1","1","0","0","0","0","0","0","1"
"*06fwz*","Murillo","NOT","D","D","180","BukAke","@FUL Mon 8:00PM","13.8","13.8","50%","0%","1","1","90","0","0","0","0","2","0","0","0","0","0","1","4","0","0","1","0","0","0","0","0","0","1"
"*051k7*","Reece James","CHE","D","D","35","Fsail93","@NEW Sat 12:30PM","13.7","13.7","100%","0%","1","1","90","0","1","0","1","0","2","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","1"
"*070hk*","Samuel Chukwueze","FUL","F","F","209","FA","NOT Mon 8:00PM","13.45","13.45","60%","+6%","1","1","90","0","1","1","0","0","0","0","0","0","0","1","3","1","0","2","0","0","0","0","0","2","0"
"*05w9i*","Marc Cucurella","CHE","D","D","38","BukAke","@NEW Sat 12:30PM","13.45","13.45","100%","0%","1","1","90","0","1","0","0","1","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","1"
"*0642l*","Casemiro","MUN","M","M","84","EDL4EFL","@AVL Sun 4:30PM","13.35","13.35","51%","+1%","1","1","60","1","1","0","1","0","0","1","0","0","0","0","3","0","0","1","0","1","0","0","0","3","0"
"*06pe1*","Mateus Goncalo Espanha Fernandes","WHU","M","M","118","joester1","@MCI Sat 3:00PM","13.3","13.3","47%","+14%","1","1","90","1","0","0","1","0","4","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","0"
"*06uzl*","Oliver Sonne","BUR","D","D","368","FA","@BOU Sat 3:00PM","13.24","13.24","0%","0%","1","0","12","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"*06rgg*","Michael Kayode","BRF","D","D","67","BukAke","@WOL Sat 3:00PM","12.95","12.95","81%","+2%","1","1","90","0","1","0","0","5","0","0","0","0","0","0","5","1","1","1","0","0","0","0","0","1","0"
"*070hd*","Tolu Arokodare","WOL","F","F","311","FA","BRF Sat 3:00PM","12.9","12.9","1%","0%","1","0","20","1","0","0","1","0","1","0","0","0","0","0","0","1","0","2","1","0","0","0","0","2","0"
"*05y5b*","Freddie Potts","WHU","M","M","266","FA","@MCI Sat 3:00PM","12.89","12.89","3%","-1%","1","1","87","0","1","1","0","1","0","0","0","0","0","1","1","0","0","2","0","1","0","0","0","3","0"
"*05o8o*","Jayden Bogle","LEE","D","D","147","FA","CRY Sat 8:00PM","12.85","12.85","18%","-1%","1","1","90","0","2","0","0","2","1","0","0","0","1","1","3","3","0","1","0","0","0","0","0","1","0"
"*04fk8*","Victor Lindelof","AVL","D","D","382","FA","MUN Sun 4:30PM","12.45","12.45","1%","+1%","1","1","90","0","1","1","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","2","0"
"*06dwm*","Jacob Bruun Larsen","BUR","F","F","262","FA","@BOU Sat 3:00PM","12.27","12.27","2%","0%","1","1","76","0","5","0","1","0","0","0","0","0","0","0","1","3","0","0","0","1","0","0","0","3","0"
"*0435m*","Granit Xhaka","SUN","M","M","32","Dank95","@BHA Sat 3:00PM","12.2","12.2","86%","-1%","1","1","90","0","1","0","0","2","0","0","0","0","1","1","4","0","0","3","0","0","0","0","0","0","1"
"*03hff*","Josh Cullen","BUR","M","M","81","Rozza08","@BOU Sat 3:00PM","12.1","12.1","56%","-2%","1","1","90","0","2","1","0","2","2","1","0","0","0","2","0","0","0","1","0","0","0","0","0","3","0"
"*05tre*","Vitaly Janelt","BRF","M","M","327","FA","@WOL Sat 3:00PM","12.08","12.08","1%","0%","1","1","79","0","0","0","0","2","0","0","0","0","0","2","4","0","0","5","0","1","0","0","0","0","1"
"*068ym*","Enzo Fernandez","CHE","M","M","47","feeneya","@NEW Sat 12:30PM","11.95","11.95","100%","0%","1","1","90","0","1","0","1","1","1","0","0","0","1","2","1","0","0","1","0","0","0","0","0","0","1"
"*04o82*","Curtis Jones","LIV","M","M","248","FA","@TOT Sat 5:30PM","11.8","11.8","16%","+6%","1","1","90","0","0","0","0","1","1","0","0","0","0","1","2","4","1","0","0","0","0","0","0","0","1"
"*070hp*","Randal Kolo Muani","TOT","F","F","313","Fsail93","LIV Sat 5:30PM","11.73","11.73","46%","-3%","1","1","79","0","1","0","0","2","0","0","0","0","1","1","1","4","0","0","0","1","0","0","0","3","0"
"*06v51*","Jaka Bijol","LEE","D","D","254","FA","CRY Sat 8:00PM","11.69","11.69","2%","0%","1","1","72","0","0","0","0","1","0","0","0","0","0","2","5","0","0","5","0","1","0","0","0","1","0"
"*05y9n*","Lewis Hall","NEW","D","D","230","ojag7","CHE Sat 12:30PM","11.55","11.55","76%","+3%","1","1","90","0","0","0","0","1","0","0","0","0","0","2","7","1","0","3","0","0","0","0","0","1","0"
"*03rzp*","Antonee Robinson","FUL","D","D","374","FPLL","NOT Mon 8:00PM","11.55","11.55","74%","+7%","1","1","90","0","0","0","0","3","1","0","0","0","1","3","5","0","1","2","0","0","0","0","0","2","0"
"*05ubv*","Omari Hutchinson","NOT","F","F","207","EDL4EFL","@FUL Mon 8:00PM","11.55","11.55","46%","-1%","1","1","90","0","0","0","1","3","3","0","0","0","0","2","1","3","0","0","0","0","0","0","0","0","1"
"*03r93*","Joseph Gomez","LIV","D","D","296","FA","@TOT Sat 5:30PM","11.55","11.55","11%","+4%","1","1","25","0","2","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0"
"*070gu*","Alex Jimenez","BOU","D","D","252","W <small>(Fri)</small>","BUR Sat 3:00PM","11.45","11.45","3%","0%","1","1","90","0","1","1","0","1","1","0","0","0","1","0","1","3","0","2","0","0","0","0","0","4","0"
"*06xza*","Eli Kroupi","BOU","F","F","215","W <small>(Fri)</small>","BUR Sat 3:00PM","11.22","11.22","25%","-9%","1","0","11","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
