"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*03gu5*","Andrew Robertson","LIV","D","D","258","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","7.85","7.85","18%","-5%","1","1","85","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06r7k*","Emmanuel Agbadou","WOL","D","D","183","FA","@ARS Sat 8:00PM","7.7","7.7","5%","-1%","1","1","90","0","0.0","0","0","1","0","1","0","0","0","1","0","0","0"
"*067x8*","Nico OReilly","MCI","M","M","82","BMB","@CRY Sun 2:00PM","7.55","7.55","79%","+2%","1","1","90","0","0.0","0","0","0","0","3","0","0","0","3","0","0","0"
"*06p4j*","Noussair Mazraoui","MUN","D","D","267","FA","BOU Mon 8:00PM","7.55","7.55","27%","-3%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05g2o*","Joao Pedro","CHE","F","F","52","Dank95","EVE 0<br/>@CHE 2 F","7.5","7.5","100%","0%","1","1","90","0","0.0","0","0","1","0","2","1","0","0","2","1","0","0"
"*063zi*","Matheus Nunes","MCI","D","D","75","Rozza08","@CRY Sun 2:00PM","7.45","7.45","96%","+1%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*070hp*","Randal Kolo Muani","TOT","F","F","332","Fsail93","@NOT Sun 2:00PM","7.42","7.42","45%","-4%","1","1","76","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"*061va*","Boubacar Kamara","AVL","M","M","109","BukAke","@WHU Sun 2:00PM","7.28","7.28","48%","+13%","1","1","69","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"*06fxu*","Ibrahim Sangare","NOT","M","M","230","FA","TOT Sun 2:00PM","7.07","7.07","2%","0%","1","1","66","0","0.0","0","0","0","0","0","3","0","0","0","0","0","1"
"*05r8o*","Jean-Philippe Mateta","CRY","F","F","24","CTM","MCI Sun 2:00PM","7.01","7.01","100%","0%","1","1","63","0","0.0","0","0","2","2","0","0","0","0","0","0","0","1"
"*03r8x*","Callum Wilson","WHU","F","F","173","ojag7","AVL Sun 2:00PM","6.87","6.87","42%","+2%","1","1","86","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*06f8y*","Alex Scott","BOU","M","M","122","Ekitiki","@MUN Mon 8:00PM","6.83","6.83","23%","0%","1","1","79","0","0.0","0","0","0","0","2","2","0","0","2","0","0","0"
"*06y9z*","Martin Zubimendi","ARS","M","M","86","Fsail93","WOL Sat 8:00PM","6.8","6.8","90%","0%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","1"
"*0700p*","Malick Thiaw","NEW","D","D","80","EDL4EFL","@SUN Sun 2:00PM","6.8","6.8","64%","-2%","1","1","90","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"*0554i*","Joelinton","NEW","M","M","206","FA","@SUN Sun 2:00PM","6.7","6.7","37%","-3%","1","1","90","0","0.0","0","0","1","1","1","2","0","0","1","0","0","0"
"*06clz*","Malo Gusto","CHE","D","D","71","BMB","EVE 0<br/>@CHE 2 F","6.55","6.55","66%","+8%","1","0","45","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06xzd*","Charalampos Kostoulas","BHA","F","F","334","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","6.54","6.54","4%","0%","1","0","12","0","0.0","0","0","2","1","0","1","0","0","0","0","0","0"
"*06v6n*","Quilindschy Hartman","BUR","D","D","95","Dank95","FUL 1<br/>@BUR 1","6.45","6.45","41%","-3%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","0"
