"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","W","L","D","CS","GA","GAA","Sv","Sv%","STA","YC","RC","FC","FS","PKGA","G","A"
"*03pif*","Karl Darlow","LEE","G","G","23","FA","@BRF Sun 4:30PM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nv3*","Filip Jorgensen","CHE","G","G","29","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063e3*","Neto","BOU","G","G","73","FA","@MUN Mon 8:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06r6s*","Antonin Kinsky","TOT","G","G","60","FA","@NOT Sun 2:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063c2*","Gabriel Slonina","CHE","G","G","90","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v0d*","Anthony Patterson","SUN","G","G","79","FA","NEW Sun 2:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rha*","Jason Steele","BHA","G","G","91","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz4*","Karl Hein","ARS","G","G","54","FA","WOL Sat 8:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*04vy4*","Mark Travers","EVE","G","G","93","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*056as*","William Dennis","BOU","G","G","42","FA","@MUN Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n0a*","Wes Foderingham","WHU","G","G","45","FA","AVL Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
