Team,Status,Actual Name
Book Ake,BukAke,Mikesh
Texas Chainshaw Massacre,CUM,Andy
Infantino Milan,joester1,Joe
I’m a Baleba,Fsail93,Freddie
Chicken Tikka MoSalah,CTM,Dom
Iwobi Wan-Kenobi,Rozza08,Rory
ESRs EDL for FPL,EDL4EFL,John
Haile Senesi,Dank95,Dan
Ugarte roll with it,feeneya,Feeney
FPL Loyalists,FPLL,Logan
Ekitiki-taka,Ekitiki,Oli
"Me,Myself,Ndiaye",ojag7,Ollie
Bryan MBeumboclaat,BMB,Will
