"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","CS","GA","Sv","YC","RC","Pen","PKS","SBON","SBOF","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*032f9*","Jordan Pickford","EVE","G","G","4","EDL4EFL","BOU Tue 7:30PM","22.8","22.8","99%","0%","1","1","90","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"*06znb*","Robin Roefs","SUN","G","G","1","Rozza08","LIV Wed 8:15PM","16.8","16.8","83%","-1%","1","1","90","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*070hs*","Gianluigi Donnarumma","MCI","G","G","12","Ekitiki","FUL Wed 7:30PM","16.8","16.8","80%","0%","1","1","90","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04ym7*","Lucas Perri","LEE","G","G","19","W <small>(Tue)</small>","@CHE Tue 7:30PM","16.8","16.8","5%","0%","1","1","90","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05udg*","Jose Sa","WOL","G","G","20","W <small>(Tue)</small>","@NOT Wed 7:30PM ARS Wed8:00PM","16.05","16.05","13%","+1%","1","1","90","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","0","0","0"
"*06cmb*","Guglielmo Vicario","TOT","G","G","8","ojag7","NEW Tue 7:30PM","15.3","15.3","64%","-13%","1","1","90","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","2","0","2","2","0","0","0"
"*045ob*","Caoimhin Kelleher","BRF","G","G","5","Rozza08","ARS Thu 8:00PM","14.8","14.8","78%","-7%","1","1","90","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"*04sjt*","Alisson","LIV","G","G","17","CTM","@SUN Wed 8:15PM","13.3","13.3","80%","-5%","1","1","90","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"*05oef*","Alphonse Areola","WHU","G","G","15","Dank95","MUN Tue 8:15PM","13.3","13.3","17%","-2%","1","1","90","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0"
"*03yww*","Dean Henderson","CRY","G","G","6","Dank95","BUR Wed 7:30PM","10.8","10.8","82%","-3%","1","1","90","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04yme*","Robert Sanchez","CHE","G","G","3","feeneya","LEE Tue 7:30PM","10.3","10.3","96%","+1%","1","1","90","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0"
"*070hl*","Senne Lammens","MUN","G","G","18","Ekitiki","@WHU Tue 8:15PM","8.8","8.8","33%","+3%","1","1","90","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04mr4*","Martin Dubravka","BUR","G","G","2","FPLL","@CRY Wed 7:30PM","8.55","8.55","55%","+2%","1","1","90","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0"
"*05tqx*","David Raya","ARS","G","G","9","Fsail93","@BRF Thu 8:00PM @WOL Wed8:00PM","8.3","8.3","98%","0%","1","1","90","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0"
"*06fuw*","Djordje Petrovic","BOU","G","G","10","BMB","@EVE Tue 7:30PM","8.05","8.05","44%","+3%","1","1","90","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","1","0","0","0"
"*06cmu*","Bart Verbruggen","BHA","G","G","11","feeneya","@AVL Wed 7:30PM","8.05","8.05","35%","-2%","1","1","90","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0"
"*044ei*","Nick Pope","NEW","G","G","13","BukAke","@TOT Tue 7:30PM","7.05","7.05","93%","0%","1","1","90","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"*04qor*","Bernd Leno","FUL","G","G","14","joester1","@MCI Wed 7:30PM","6.55","6.55","38%","-1%","1","1","90","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0"
"*02lz0*","Emiliano Martinez","AVL","G","G","7","joester1","BHA Wed 7:30PM","3.8","3.8","72%","+3%","1","1","90","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"*070gt*","John Victor Maciel Furtado","NOT","G","G","29","W <small>(Tue)</small>","WOL Wed 7:30PM","3.05","3.05","1%","0%","1","1","90","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"*04f6h*","Matz Sels","NOT","G","G","16","W <small>(Tue)</small>","WOL Wed 7:30PM","0","0","45%","-1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz3*","James Trafford","MCI","G","G","27","W <small>(Tue)</small>","FUL Wed 7:30PM","0","0","22%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04fk5*","Ederson","MCI","G","G","97","W <small>(Tue)</small>","FUL Wed 7:30PM","0","0","11%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06xzg*","Giorgi Mamardashvili","LIV","G","G","23","W <small>(Tue)</small>","@SUN Wed 8:15PM","0","0","6%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062cw*","Stefan Ortega","NOT","G","G","31","CUM","WOL Wed 7:30PM","0","0","5%","+4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04amh*","Aaron Ramsdale","NEW","G","G","26","W <small>(Tue)</small>","@TOT Tue 7:30PM","0","0","5%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mga*","Mads Hermansen","WHU","G","G","24","W <small>(Tue)</small>","MUN Tue 8:15PM","0","0","4%","+2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03pif*","Karl Darlow","LEE","G","G","22","FPLL","@CHE Tue 7:30PM","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04u40*","Kepa","ARS","G","G","33","W <small>(Tue)</small>","@BRF Thu 8:00PM @WOL Wed8:00PM","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
