"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","CS","GA","Sv","YC","RC","Pen","PKS","SBON","SBOF","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*06dps*","Andre Onana","MUN","G","G","86","W <small>(Tue)</small>","@WHU Tue 8:15PM","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ymt*","Marco Bizot","AVL","G","G","28","W <small>(Tue)</small>","BHA Wed 7:30PM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fx0*","Altay Bayindir","MUN","G","G","25","W <small>(Tue)</small>","@WHU Tue 8:15PM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05mzt*","Illan Meslier","LEE","G","G","79","W <small>(Tue)</small>","@CHE Tue 7:30PM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nv3*","Filip Jorgensen","CHE","G","G","30","W <small>(Tue)</small>","LEE Tue 7:30PM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02xtd*","Sam Johnstone","WOL","G","G","21","W <small>(Tue)</small>","@NOT Wed 7:30PM ARS Wed8:00PM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063e3*","Neto","BOU","G","G","82","W <small>(Tue)</small>","@EVE Tue 7:30PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06r6s*","Antonin Kinsky","TOT","G","G","68","W <small>(Tue)</small>","NEW Tue 7:30PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063c2*","Gabriel Slonina","CHE","G","G","100","W <small>(Tue)</small>","LEE Tue 7:30PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v0d*","Anthony Patterson","SUN","G","G","87","W <small>(Tue)</small>","LIV Wed 8:15PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rha*","Jason Steele","BHA","G","G","101","W <small>(Tue)</small>","@AVL Wed 7:30PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz4*","Karl Hein","ARS","G","G","62","W <small>(Tue)</small>","@BRF Thu 8:00PM @WOL Wed8:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04vy4*","Mark Travers","EVE","G","G","103","W <small>(Tue)</small>","BOU Tue 7:30PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v6m*","Max Weiss","BUR","G","G","108","W <small>(Tue)</small>","@CRY Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06xze*","Walter Benitez","CRY","G","G","39","W <small>(Tue)</small>","BUR Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n0a*","Wes Foderingham","WHU","G","G","51","W <small>(Tue)</small>","MUN Tue 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*044i7*","Angus Gunn","NOT","G","G","32","W <small>(Tue)</small>","WOL Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v0e*","Blondy Nna Noukeu","SUN","G","G","84","W <small>(Tue)</small>","LIV Wed 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jfe*","Hakon Valdimarsson","BRF","G","G","106","W <small>(Tue)</small>","ARS Thu 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xtq*","Matthew Cox","BRF","G","G","44","W <small>(Tue)</small>","ARS Thu 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03dwz*","Tom Heaton","MUN","G","G","60","W <small>(Tue)</small>","@WHU Tue 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v04*","Armin Pecsi","LIV","G","G","92","W <small>(Tue)</small>","@SUN Wed 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04gyd*","Brandon Austin","TOT","G","G","34","W <small>(Tue)</small>","NEW Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zbw*","Benjamin Lecomte","FUL","G","G","69","W <small>(Tue)</small>","@MCI Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lo6*","Daniel Bentley","WOL","G","G","38","W <small>(Tue)</small>","@NOT Wed 7:30PM ARS Wed8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mx2*","Carlos Miguel","NOT","G","G","113","W <small>(Tue)</small>","WOL Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ls8*","Marcus Bettinelli","MCI","G","G","40","W <small>(Tue)</small>","FUL Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*056as*","William Dennis","BOU","G","G","47","W <small>(Tue)</small>","@EVE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ubh*","Remi Matthews","CRY","G","G","73","W <small>(Tue)</small>","BUR Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03m5i*","Freddie Woodman","LIV","G","G","111","W <small>(Tue)</small>","@SUN Wed 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uzw*","Alex Cairns","LEE","G","G","43","W <small>(Tue)</small>","@CHE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n09*","Mark Gillespie","NEW","G","G","54","W <small>(Tue)</small>","@TOT Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*033l8*","Simon Moore","SUN","G","G","81","W <small>(Tue)</small>","LIV Wed 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02m3v*","John Ruddy","NEW","G","G","96","W <small>(Tue)</small>","@TOT Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zeg*","Max Thompson","NEW","G","G","102","W <small>(Tue)</small>","@TOT Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uzk*","Etienne Green","BUR","G","G","56","W <small>(Tue)</small>","@CRY Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06exj*","Luca Gunter","TOT","G","G","57","W <small>(Tue)</small>","NEW Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nyx*","Finlay Herrick","WHU","G","G","63","W <small>(Tue)</small>","MUN Tue 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072x6*","Christos Mandas","BOU","G","G","71","W <small>(Tue)</small>","@EVE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jgu*","Callan McKenna","BOU","G","G","75","W <small>(Tue)</small>","@EVE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rc7*","Harry Tyrer","EVE","G","G","105","W <small>(Tue)</small>","BOU Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062pa*","Joseph Whitworth","CRY","G","G","109","W <small>(Tue)</small>","BUR Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05u40*","Ellery Balcombe","BRF","G","G","36","W <small>(Tue)</small>","ARS Thu 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lym*","Lukasz Fabianski","WHU","G","G","50","W <small>(Tue)</small>","MUN Tue 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ltw*","Fraser Forster","BOU","G","G","52","W <small>(Tue)</small>","@EVE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cmt*","Tom King","EVE","G","G","67","W <small>(Tue)</small>","BOU Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y6a*","Filip Marschall","AVL","G","G","72","W <small>(Tue)</small>","BHA Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rbn*","Thomas McGill","BHA","G","G","74","W <small>(Tue)</small>","@AVL Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zby*","Kornel Misciur","LIV","G","G","80","W <small>(Tue)</small>","@SUN Wed 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uzt*","Mike Penders","CHE","G","G","89","W <small>(Tue)</small>","LEE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nk2*","Alexei Rojas Fedorushchenko","ARS","G","G","94","W <small>(Tue)</small>","@BRF Thu 8:00PM @WOL Wed8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062ds*","Matt Turner","NOT","G","G","104","W <small>(Tue)</small>","WOL Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fxg*","Odysseas Vlachodimos","NEW","G","G","107","W <small>(Tue)</small>","@TOT Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fwn*","Steven Benda","FUL","G","G","37","W <small>(Tue)</small>","@MCI Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0645w*","Krisztian Hegyi","WHU","G","G","61","W <small>(Tue)</small>","MUN Tue 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mfw*","Vaclav Hladky","BUR","G","G","65","W <small>(Tue)</small>","@CRY Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ews*","Dermot Mee","MUN","G","G","77","W <small>(Tue)</small>","@WHU Tue 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ie2*","Sam Proctor","AVL","G","G","91","W <small>(Tue)</small>","BHA Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nk0*","Tommy Setford","ARS","G","G","98","W <small>(Tue)</small>","@BRF Thu 8:00PM @WOL Wed8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zcb*","Lanre Awesu","WHU","G","G","35","W <small>(Tue)</small>","MUN Tue 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jb3*","Ted Curd","CHE","G","G","45","W <small>(Tue)</small>","LEE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072zp*","Melker Ellborg","SUN","G","G","48","W <small>(Tue)</small>","LIV Wed 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06on4*","Julian Eyestone","BRF","G","G","49","W <small>(Tue)</small>","ARS Thu 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zbs*","Marcus Hill","CRY","G","G","64","W <small>(Tue)</small>","BUR Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06yxc*","Rory Mahady","LEE","G","G","70","W <small>(Tue)</small>","@CHE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06rqa*","William Murdock","MUN","G","G","83","W <small>(Tue)</small>","@WHU Tue 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mex*","Alex Paulsen","BOU","G","G","88","W <small>(Tue)</small>","@EVE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ppi*","Jack Porter","ARS","G","G","90","W <small>(Tue)</small>","@BRF Thu 8:00PM @WOL Wed8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nkh*","Reggie Rose","BRF","G","G","95","W <small>(Tue)</small>","ARS Thu 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xtr*","Teddy Sharman-Lowe","CHE","G","G","99","W <small>(Tue)</small>","LEE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06avm*","James Wright","AVL","G","G","112","W <small>(Tue)</small>","BHA Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zc1*","Carey Bloedorn","TOT","G","G","41","W <small>(Tue)</small>","NEW Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ex2*","Aaron Bott","NOT","G","G","42","W <small>(Tue)</small>","WOL Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rfp*","Harvey Davies","LIV","G","G","46","W <small>(Tue)</small>","@SUN Wed 8:15PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jgt*","Joe Gauci","AVL","G","G","53","W <small>(Tue)</small>","BHA Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062pb*","Owen Goodman","CRY","G","G","55","W <small>(Tue)</small>","BUR Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06h1g*","Aidan Harris","NEW","G","G","58","W <small>(Tue)</small>","@TOT Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ids*","Adam Harrison","NEW","G","G","59","W <small>(Tue)</small>","@TOT Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072gz*","Ronnie Hollingshead","AVL","G","G","66","W <small>(Tue)</small>","BHA Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072jc*","Alfie McNally","FUL","G","G","76","W <small>(Tue)</small>","@MCI Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jfh*","Max Merrick","CHE","G","G","78","W <small>(Tue)</small>","LEE Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0722r*","Rhys Oakley","AVL","G","G","85","W <small>(Tue)</small>","BHA Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072cd*","Nils Ramming","BHA","G","G","93","W <small>(Tue)</small>","@AVL Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06617*","Keehan Willows","NOT","G","G","110","W <small>(Tue)</small>","WOL Wed 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
