"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","CS","GA","Sv","YC","RC","Pen","PKS","SBON","SBOF","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*04amh*","Aaron Ramsdale","NEW","G","G","24","CUM","NEW 0<br/>@MUN 1 F","9.05","9.05","14%","0%","1","1","90","0","2","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","2","0","0","0"
"*05oef*","Alphonse Areola","WHU","G","G","15","Dank95","FUL Sat 3:00PM","8.8","8.8","20%","+2%","1","1","90","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cmb*","Guglielmo Vicario","TOT","G","G","4","W <small>(Tue)</small>","@CRY Sun 4:30PM","7.05","7.05","78%","-2%","1","1","90","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0"
"*070hl*","Senne Lammens","MUN","G","G","18","Ekitiki","NEW 0<br/>@MUN 1 F","6.05","6.05","25%","-1%","1","1","90","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"*04mr4*","Martin Dubravka","BUR","G","G","10","FPLL","EVE Sat 3:00PM","5.3","5.3","34%","-3%","1","1","90","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0"
"*06fuw*","Djordje Petrovic","BOU","G","G","7","BMB","@BRF Sat 3:00PM","4.05","4.05","63%","-10%","1","1","90","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"*032f9*","Jordan Pickford","EVE","G","G","3","EDL4EFL","@BUR Sat 3:00PM","3.05","3.05","98%","+1%","1","1","90","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"*04ym7*","Lucas Perri","LEE","G","G","20","joester1","@SUN Sun 2:00PM","2.8","2.8","6%","0%","1","1","90","0","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"*03yww*","Dean Henderson","CRY","G","G","6","Dank95","TOT Sun 4:30PM","2.05","2.05","88%","-3%","1","1","90","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"*070gt*","John Victor Maciel Furtado","NOT","G","G","29","W <small>(Tue)</small>","MCI 0<br/>@NOT 0","0.8","0.8","2%","-1%","1","1","90","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*044ei*","Nick Pope","NEW","G","G","8","BukAke","NEW 0<br/>@MUN 1 F","0","0","76%","-2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04f6h*","Matz Sels","NOT","G","G","16","ojag7","MCI 0<br/>@NOT 0","0","0","39%","-2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz3*","James Trafford","MCI","G","G","25","W <small>(Tue)</small>","MCI 0<br/>@NOT 0","0","0","23%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04fk5*","Ederson","MCI","G","G","88","W <small>(Tue)</small>","MCI 0<br/>@NOT 0","0","0","11%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06xzg*","Giorgi Mamardashvili","LIV","G","G","21","FA","WOL Sat 3:00PM","0","0","7%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04u40*","Kepa","ARS","G","G","31","FA","BHA Sat 3:00PM","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ymt*","Marco Bizot","AVL","G","G","27","FA","@CHE Sat 5:30PM","0","0","3%","-1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06dps*","Andre Onana","MUN","G","G","77","W <small>(Tue)</small>","NEW 0<br/>@MUN 1 F","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02xtd*","Sam Johnstone","WOL","G","G","19","FA","@LIV Sat 3:00PM","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fx0*","Altay Bayindir","MUN","G","G","22","W <small>(Tue)</small>","NEW 0<br/>@MUN 1 F","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mga*","Mads Hermansen","WHU","G","G","26","FA","FUL Sat 3:00PM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05mzt*","Illan Meslier","LEE","G","G","70","FA","@SUN Sun 2:00PM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03pif*","Karl Darlow","LEE","G","G","23","FA","@SUN Sun 2:00PM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nv3*","Filip Jorgensen","CHE","G","G","30","FA","AVL Sat 5:30PM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063e3*","Neto","BOU","G","G","73","FA","@BRF Sat 3:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06r6s*","Antonin Kinsky","TOT","G","G","61","FA","@CRY Sun 4:30PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063c2*","Gabriel Slonina","CHE","G","G","90","FA","AVL Sat 5:30PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v0d*","Anthony Patterson","SUN","G","G","79","FA","LEE Sun 2:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rha*","Jason Steele","BHA","G","G","91","FA","@ARS Sat 3:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz4*","Karl Hein","ARS","G","G","55","FA","BHA Sat 3:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04vy4*","Mark Travers","EVE","G","G","93","FA","@BUR Sat 3:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n0a*","Wes Foderingham","WHU","G","G","46","FA","FUL Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062cw*","Stefan Ortega","MCI","G","G","78","W <small>(Tue)</small>","MCI 0<br/>@NOT 0","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06xze*","Walter Benitez","CRY","G","G","36","FA","TOT Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v04*","Armin Pecsi","LIV","G","G","83","FA","WOL Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v6m*","Max Weiss","BUR","G","G","98","FA","EVE Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xtq*","Matthew Cox","BRF","G","G","41","FA","BOU Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*056as*","William Dennis","BOU","G","G","43","FA","@BRF Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04gyd*","Brandon Austin","TOT","G","G","32","FA","@CRY Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v0e*","Blondy Nna Noukeu","SUN","G","G","75","FA","LEE Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jfe*","Hakon Valdimarsson","BRF","G","G","96","FA","BOU Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lo6*","Daniel Bentley","WOL","G","G","35","FA","@LIV Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03dwz*","Tom Heaton","MUN","G","G","53","W <small>(Tue)</small>","NEW 0<br/>@MUN 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zbw*","Benjamin Lecomte","FUL","G","G","62","FA","@WHU Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mx2*","Carlos Miguel","NOT","G","G","103","W <small>(Tue)</small>","MCI 0<br/>@NOT 0","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ubh*","Remi Matthews","CRY","G","G","65","FA","TOT Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03m5i*","Freddie Woodman","LIV","G","G","101","FA","WOL Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ls8*","Marcus Bettinelli","MCI","G","G","37","W <small>(Tue)</small>","MCI 0<br/>@NOT 0","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02m3v*","John Ruddy","NEW","G","G","87","W <small>(Tue)</small>","NEW 0<br/>@MUN 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uzw*","Alex Cairns","LEE","G","G","40","FA","@SUN Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n09*","Mark Gillespie","NEW","G","G","48","W <small>(Tue)</small>","NEW 0<br/>@MUN 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*044i7*","Angus Gunn","NOT","G","G","50","W <small>(Tue)</small>","MCI 0<br/>@NOT 0","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*033l8*","Simon Moore","SUN","G","G","72","FA","LEE Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zeg*","Max Thompson","NEW","G","G","92","W <small>(Tue)</small>","NEW 0<br/>@MUN 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lym*","Lukasz Fabianski","WHU","G","G","45","FA","FUL Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uzk*","Etienne Green","BUR","G","G","49","FA","EVE Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nyx*","Finlay Herrick","WHU","G","G","56","FA","FUL Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rc7*","Harry Tyrer","EVE","G","G","95","FA","@BUR Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062pa*","Joseph Whitworth","CRY","G","G","99","FA","TOT Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05u40*","Ellery Balcombe","BRF","G","G","34","FA","BOU Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cmt*","Tom King","EVE","G","G","60","FA","@BUR Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y6a*","Filip Marschall","AVL","G","G","64","FA","@CHE Sat 5:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rbn*","Thomas McGill","BHA","G","G","66","FA","@ARS Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jgu*","Callan McKenna","BOU","G","G","67","FA","@BRF Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uzt*","Mike Penders","CHE","G","G","81","FA","AVL Sat 5:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nk2*","Alexei Rojas Fedorushchenko","ARS","G","G","85","FA","BHA Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062ds*","Matt Turner","NOT","G","G","94","W <small>(Tue)</small>","MCI 0<br/>@NOT 0","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fxg*","Odysseas Vlachodimos","NEW","G","G","97","W <small>(Tue)</small>","NEW 0<br/>@MUN 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06exj*","Luca Gunter","TOT","G","G","51","FA","@CRY Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0645w*","Krisztian Hegyi","WHU","G","G","54","FA","FUL Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ews*","Dermot Mee","MUN","G","G","68","W <small>(Tue)</small>","NEW 0<br/>@MUN 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zby*","Kornel Misciur","LIV","G","G","71","FA","WOL Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ie2*","Sam Proctor","AVL","G","G","82","FA","@CHE Sat 5:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nk0*","Tommy Setford","ARS","G","G","89","FA","BHA Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zcb*","Lanre Awesu","WHU","G","G","33","FA","FUL Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06on4*","Julian Eyestone","BRF","G","G","44","FA","BOU Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zbs*","Marcus Hill","CRY","G","G","57","FA","TOT Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mfw*","Vaclav Hladky","BUR","G","G","58","FA","EVE Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06yxc*","Rory Mahady","LEE","G","G","63","FA","@SUN Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06rqa*","William Murdock","MUN","G","G","74","W <small>(Tue)</small>","NEW 0<br/>@MUN 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mex*","Alex Paulsen","BOU","G","G","80","FA","@BRF Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nkh*","Reggie Rose","BRF","G","G","86","FA","BOU Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06avm*","James Wright","AVL","G","G","102","FA","@CHE Sat 5:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zc1*","Carey Bloedorn","TOT","G","G","38","FA","@CRY Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ex2*","Aaron Bott","NOT","G","G","39","W <small>(Tue)</small>","MCI 0<br/>@NOT 0","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jb3*","Ted Curd","CHE","G","G","42","FA","AVL Sat 5:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jgt*","Joe Gauci","AVL","G","G","47","FA","@CHE Sat 5:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ids*","Adam Harrison","NEW","G","G","52","W <small>(Tue)</small>","NEW 0<br/>@MUN 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072gz*","Ronnie Hollingshead","AVL","G","G","59","FA","@CHE Sat 5:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jfh*","Max Merrick","CHE","G","G","69","FA","AVL Sat 5:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0722r*","Rhys Oakley","AVL","G","G","76","FA","@CHE Sat 5:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072cd*","Nils Ramming","BHA","G","G","84","FA","@ARS Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06617*","Keehan Willows","NOT","G","G","100","W <small>(Tue)</small>","MCI 0<br/>@NOT 0","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
