"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","CS","GA","Sv","YC","RC","Pen","PKS","SBON","SBOF","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*06cmu*","Bart Verbruggen","BHA","G","G","11","feeneya","@ARS Sat 3:00PM","21.8","21.8","29%","-2%","1","1","90","1","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lz0*","Emiliano Martinez","AVL","G","G","9","joester1","@CHE Sat 5:30PM","21.05","21.05","69%","+13%","1","1","90","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","7","0","0","0"
"*05tqx*","David Raya","ARS","G","G","5","Fsail93","BHA Sat 3:00PM","19.05","19.05","99%","0%","1","1","90","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","5","1","0","0"
"*045ob*","Caoimhin Kelleher","BRF","G","G","12","Rozza08","BOU Sat 3:00PM","18.8","18.8","68%","-1%","1","1","90","1","0","2","0","0","1","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"*04yme*","Robert Sanchez","CHE","G","G","2","feeneya","AVL Sat 5:30PM","18.3","18.3","93%","+1%","1","1","90","0","2","3","1","0","0","0","0","0","0","0","0","1","1","0","2","0","0","1","0","0","0"
"*070hs*","Gianluigi Donnarumma","MCI","G","G","14","Ekitiki","MCI 0<br/>@NOT 0","18.05","18.05","81%","+1%","1","1","90","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"*06znb*","Robin Roefs","SUN","G","G","1","Rozza08","LEE Sun 2:00PM","17.8","17.8","82%","+1%","1","1","90","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"*04qor*","Bernd Leno","FUL","G","G","13","BukAke","@WHU Sat 3:00PM","15.55","15.55","45%","+2%","1","1","90","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0"
"*04sjt*","Alisson","LIV","G","G","17","CTM","WOL Sat 3:00PM","12.8","12.8","89%","+5%","1","1","90","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0"
"*05udg*","Jose Sa","WOL","G","G","28","FA","@LIV Sat 3:00PM","10.05","10.05","10%","0%","1","1","90","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
