"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","Pen","ACNC","Int","CLR","CoS","BS","AER","SBON","SBOF","PKM","PKD","OG","GAO","CS"
"*061vq*","Erling Haaland","MCI","F","F","1","joester1","MCI 0<br/>@NOT 0","34.2","34.2","100%","0%","1","1","90","2","1","1","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"*062p3*","Keane Lewis-Potter","BRF","M","M","225","feeneya","BOU Sat 3:00PM","32.7","32.7","32%","+19%","1","1","90","2","1","0","3","0","1","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","1"
"*049tq*","Dominic Calvert-Lewin","LEE","F","F","66","ojag7","@SUN Sun 2:00PM","28.37","28.37","81%","+3%","1","1","86","2","1","0","3","0","2","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","1"
"*05uht*","Morgan Rogers","AVL","M","M","18","FPLL","@CHE Sat 5:30PM","28.05","28.05","100%","0%","1","1","90","2","0","0","3","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
"*04lav*","Ethan Ampadu","LEE","D","D","160","FA","@SUN Sun 2:00PM","27.47","27.47","8%","+3%","1","1","86","1","0","0","1","2","0","0","0","0","0","0","3","1","0","3","0","1","0","0","0","0","1"
"*070g7*","Nick Woltemade","NEW","F","F","89","CUM","NEW 0<br/>@MUN 1 F","24.44","24.44","84%","0%","1","1","72","2","0","0","2","0","2","0","0","0","0","0","0","0","0","2","0","1","0","0","0","2","0"
"*04mdn*","Anthony Gordon","NEW","M","M","149","ojag7","NEW 0<br/>@MUN 1 F","23.47","23.47","98%","+1%","1","1","71","0","2","2","2","1","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","2","0"
"*05nns*","Danny Ballard","SUN","D","D","21","Rozza08","LEE Sun 2:00PM","23.3","23.3","80%","+4%","1","1","90","0","0","0","2","4","0","1","0","0","0","1","6","0","0","6","0","0","0","0","0","0","1"
"*067yz*","Matheus Cunha","MUN","F","F","80","FPLL","NEW 0<br/>@MUN 1 F","21.6","21.6","100%","0%","1","1","90","1","2","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0"
"*06rlj*","Patrick Dorgu","MUN","D","D","107","BMB","NEW 0<br/>@MUN 1 F","20.75","20.75","64%","+15%","1","1","90","0","3","1","0","3","1","0","0","0","2","0","3","1","1","3","0","0","0","0","0","2","0"
"*06v51*","Jaka Bijol","LEE","D","D","227","BukAke","@SUN Sun 2:00PM","20.7","20.7","7%","+4%","1","1","90","0","1","1","0","1","0","0","0","0","0","2","4","0","0","6","0","0","0","0","0","1","0"
"*06uyd*","Diego Coppola","BHA","D","D","364","FA","@ARS Sat 3:00PM","20.55","20.55","1%","0%","1","1","90","0","0","0","0","1","0","1","0","0","0","1","7","1","2","7","0","0","0","0","0","0","1"
"*063e7*","Marcos Senesi","BOU","D","D","15","Dank95","@BRF Sat 3:00PM","20.5","20.5","90%","0%","1","1","90","0","3","0","0","3","0","0","0","0","1","0","12","0","2","6","0","0","0","0","0","1","0"
"*0700t*","Omar Alderete","SUN","D","D","65","BMB","LEE Sun 2:00PM","20.05","20.05","69%","+9%","1","1","90","0","0","0","2","0","0","0","0","0","0","2","5","1","1","2","0","0","0","0","0","0","1"
"*06zbx*","Anton Stach","LEE","M","M","46","joester1","@SUN Sun 2:00PM","19.8","19.8","81%","+3%","1","1","90","1","5","0","1","1","2","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"*06v0g*","Trai Hume","SUN","D","D","60","joester1","LEE Sun 2:00PM","19.7","19.7","72%","+9%","1","1","90","0","1","0","0","5","0","0","0","0","1","1","4","0","0","2","0","0","0","0","0","0","1"
"*04agz*","Declan Rice","ARS","M","M","5","Ekitiki","BHA Sat 3:00PM","19.6","19.6","100%","0%","1","1","90","0","2","1","0","2","1","0","0","0","0","3","4","0","0","3","0","0","0","0","0","0","1"
"*05tre*","Vitaly Janelt","BRF","M","M","288","FA","BOU Sat 3:00PM","19.45","19.45","4%","+2%","1","1","90","0","1","1","0","3","0","1","0","0","2","3","3","0","0","2","0","0","0","0","0","0","1"
"*070hq*","Piero Hincapie","ARS","D","D","243","joester1","BHA Sat 3:00PM","19.3","19.3","55%","-2%","1","1","90","0","0","0","0","1","0","0","0","0","0","2","10","0","1","4","0","0","0","0","0","0","1"
"*06v06*","Tijjani Reijnders","MCI","M","M","123","Rozza08","MCI 0<br/>@NOT 0","18.32","18.32","96%","+3%","1","1","66","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1"
"*05u1m*","Nathan Collins","BRF","D","D","85","Ekitiki","BOU Sat 3:00PM","18.05","18.05","69%","+1%","1","1","90","0","0","0","0","0","0","0","0","0","1","2","9","0","2","2","0","0","0","0","0","0","1"
"*05g2o*","Joao Pedro","CHE","F","F","45","Dank95","AVL Sat 5:30PM","17.85","17.85","100%","0%","1","1","90","1","2","0","1","0","0","1","0","0","0","0","3","1","0","5","0","0","0","0","0","2","0"
