"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*0635j*","Chris Richards","CRY","D","D","11","CUM","MCI Sun 2:00PM","12.7","12.7","91%","0%","1","1","90","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"*05yg5*","Toti","WOL","D","D","259","FA","@ARS Sat 8:00PM","12.45","12.45","2%","0%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*06mn7*","Lucas Bergvall","TOT","M","M","213","FA","@NOT Sun 2:00PM","12.17","12.17","16%","-2%","1","1","76","0","0.0","1","1","1","1","2","1","0","0","2","0","0","0"
"*0689w*","Georginio Rutter","BHA","F","F","129","joester1","BHA 0<br/>@LIV 2 F","12.1","12.1","81%","+11%","1","1","55","0","0.0","0","0","4","0","1","2","0","0","1","0","0","0"
"*05os8*","Joachim Andersen","FUL","D","D","99","CUM","FUL 1<br/>@BUR 1","12.05","12.05","48%","+7%","1","1","90","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"*05nns*","Danny Ballard","SUN","D","D","50","Rozza08","NEW Sun 2:00PM","11.95","11.95","73%","-1%","1","1","90","0","0.0","0","0","1","0","1","0","0","0","1","0","0","0"
"*05220*","Sepp van den Berg","BRF","D","D","83","Dank95","LEE Sun 4:30PM","11.7","11.7","33%","+1%","1","1","90","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"*05oh0*","Jan-Paul van Hecke","BHA","D","D","21","BMB","BHA 0<br/>@LIV 2 F","11.55","11.55","76%","+6%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","1"
"*070ha*","Florentino Ibrain Morris Luis","BUR","M","M","143","EDL4EFL","FUL 1<br/>@BUR 1","11.48","11.48","11%","-2%","1","1","74","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06clz*","Malo Gusto","CHE","D","D","71","BMB","EVE 0<br/>@CHE 2 F","11.45","11.45","66%","+8%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06y9o*","Igor Jesus Maciel da Cruz","NOT","F","F","208","ojag7","TOT Sun 2:00PM","11.38","11.38","35%","+2%","1","1","74","0","0.0","0","0","5","2","1","0","0","0","1","0","0","0"
"*06xzc*","Stefanos Tzimas","BHA","F","F","345","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","10.98","10.98","2%","-1%","1","0","24","1","1.0","0","1","1","1","0","0","0","0","0","0","0","0"
"*0522h*","Alexis Mac Allister","LIV","M","M","179","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","10.8","10.8","82%","-1%","1","1","90","0","0.0","0","0","1","1","1","1","0","0","1","0","0","1"
"*04qfm*","Ryan Sessegnon","FUL","M","M","106","EDL4EFL","FUL 1<br/>@BUR 1","10.8","10.8","46%","-9%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","1","0","0"
"*06rgg*","Michael Kayode","BRF","D","D","78","BukAke","LEE Sun 4:30PM","10.7","10.7","80%","+2%","1","1","90","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"*06pic*","Andre","WOL","M","M","226","FA","@ARS Sat 8:00PM","10.6","10.6","3%","0%","1","1","90","0","0.0","0","0","0","0","3","2","1","0","6","0","0","0"
"*063q8*","Mikkel Damsgaard","BRF","M","M","127","CUM","LEE Sun 4:30PM","10.35","10.35","94%","-1%","1","1","90","0","0.0","0","0","3","1","0","1","0","0","0","0","0","0"
"*070bg*","Jackson Tchatchoua","WOL","D","D","239","FA","@ARS Sat 8:00PM","10.35","10.35","1%","0%","1","1","90","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"*067zv*","Kevin Schade","BRF","F","F","84","EDL4EFL","LEE Sun 4:30PM","10.28","10.28","94%","-3%","1","1","74","0","0.0","0","0","0","0","3","2","0","0","3","1","0","0"
"*063e7*","Marcos Senesi","BOU","D","D","25","Dank95","@MUN Mon 8:00PM","10.25","10.25","88%","0%","1","1","90","0","0.0","0","0","0","0","0","1","1","0","3","1","0","0"
"*06c6g*","Yankuba Minteh","BHA","M","M","5","BMB","BHA 0<br/>@LIV 2 F","10.11","10.11","99%","0%","1","1","83","0","0.0","0","0","1","1","1","1","0","0","1","0","0","1"
"*06p4k*","Matthijs de Ligt","MUN","D","D","69","Ekitiki","BOU Mon 8:00PM","10.05","10.05","62%","-6%","1","1","90","0","0.0","0","0","1","0","1","0","0","0","1","0","0","0"
"*06jgs*","Adam Wharton","CRY","M","M","118","CTM","MCI Sun 2:00PM","9.94","9.94","66%","+2%","1","1","77","0","0.0","0","0","1","1","0","2","0","0","0","0","0","0"
"*05r94*","Iliman Ndiaye","EVE","M","M","15","EDL4EFL","EVE 0<br/>@CHE 2 F","9.73","9.73","100%","0%","1","1","79","0","0.0","0","0","1","1","0","0","0","0","0","0","0","0"
"*0703c*","Nordi Mukiele","SUN","D","D","45","Dank95","NEW Sun 2:00PM","9.7","9.7","75%","-1%","1","1","90","0","0.0","0","0","0","0","1","3","1","0","4","0","0","0"
"*06v01*","Ilia Gruev","LEE","M","M","327","FA","@BRF Sun 4:30PM","9.6","9.6","0%","0%","1","1","90","0","0.0","0","0","0","0","4","0","0","0","4","0","0","0"
"*05ubv*","Omari Hutchinson","NOT","F","F","221","FA","TOT Sun 2:00PM","9.5","9.5","46%","-1%","1","0","45","0","0.0","0","0","1","0","1","1","0","0","1","0","0","0"
"*06pe1*","Mateus Goncalo Espanha Fernandes","WHU","M","M","124","joester1","AVL Sun 2:00PM","9.25","9.25","45%","+13%","1","1","90","0","0.0","0","0","1","0","2","2","0","0","2","0","0","0"
"*06jh3*","Joshua King","FUL","M","M","235","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","9.24","9.24","6%","-1%","1","1","67","0","0.0","1","1","0","0","2","2","0","0","2","0","0","0"
"*04qfz*","Diogo Dalot","MUN","D","D","113","BukAke","BOU Mon 8:00PM","9.05","9.05","68%","+17%","1","1","90","0","0.0","0","0","2","0","1","3","0","0","1","0","0","0"
"*06fxu*","Ibrahim Sangare","NOT","M","M","230","FA","TOT Sun 2:00PM","8.71","8.71","2%","0%","1","1","73","0","0.0","0","0","1","0","1","1","0","0","1","0","0","0"
"*06v21*","Florian Wirtz","LIV","M","M","144","CUM","BHA 0<br/>@LIV 2 F","8.63","8.63","99%","0%","1","1","74","0","0.0","0","0","1","1","1","2","0","0","1","0","0","1"
"*061vq*","Erling Haaland","MCI","F","F","1","joester1","@CRY Sun 2:00PM","8.45","8.45","100%","0%","1","1","90","0","0.0","0","0","1","1","2","1","0","0","2","0","0","0"
"*05s08*","Valentino Livramento","NEW","D","D","153","CTM","@SUN Sun 2:00PM","8.45","8.45","91%","-1%","1","1","90","0","0.0","0","0","1","0","0","1","0","0","0","0","0","0"
"*02oq6*","Luke Shaw","MUN","D","D","134","FPLL","BOU Mon 8:00PM","8.37","8.37","20%","-5%","1","1","81","0","0.0","0","0","0","0","1","0","1","0","4","0","0","0"
"*05mzz*","Pascal Struijk","LEE","D","D","190","FA","@BRF Sun 4:30PM","8.3","8.3","5%","0%","1","1","90","0","0.0","0","0","2","0","0","2","0","0","0","0","0","0"
"*061vk*","Jaidon Anthony","BUR","F","F","105","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","8.28","8.28","73%","-5%","1","0","14","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*05ylj*","Bruno Guimaraes","NEW","M","M","35","Ekitiki","@SUN Sun 2:00PM","8.26","8.26","99%","0%","1","1","88","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uzy*","Ao Tanaka","LEE","M","M","238","FA","@BRF Sun 4:30PM","8.26","8.26","7%","+3%","1","1","88","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"*063zi*","Matheus Nunes","MCI","D","D","75","Rozza08","@CRY Sun 2:00PM","8.2","8.2","96%","+1%","1","1","90","0","0.0","1","1","0","0","1","0","1","0","4","2","0","0"
"*06v6n*","Quilindschy Hartman","BUR","D","D","95","Dank95","FUL 1<br/>@BUR 1","8.2","8.2","41%","-3%","1","1","90","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"*05w9i*","Marc Cucurella","CHE","D","D","29","BukAke","EVE 0<br/>@CHE 2 F","8.1","8.1","100%","0%","1","1","90","0","0.0","0","0","0","0","4","0","1","0","7","0","0","0"
"*0554g*","Calvin Bassey","FUL","D","D","165","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","8.05","8.05","10%","+3%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","0"
"*06r7k*","Emmanuel Agbadou","WOL","D","D","183","FA","@ARS Sat 8:00PM","8.05","8.05","5%","-1%","1","1","90","0","0.0","0","0","1","0","1","1","0","0","1","0","0","0"
"*06rm7*","Nico Gonzalez","MCI","M","M","139","CTM","@CRY Sun 2:00PM","7.8","7.8","31%","-3%","1","1","90","0","0.0","0","0","2","1","2","2","0","0","2","0","0","0"
"*06pig*","Morato","NOT","D","D","279","FA","TOT Sun 2:00PM","7.8","7.8","1%","-1%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068ym*","Enzo Fernandez","CHE","M","M","39","feeneya","EVE 0<br/>@CHE 2 F","7.7","7.7","100%","0%","1","1","90","0","0.0","0","0","1","1","1","1","0","0","1","0","0","0"
"*04agz*","Declan Rice","ARS","M","M","12","Ekitiki","WOL Sat 8:00PM","7.7","7.7","100%","0%","1","1","90","0","0.0","0","0","0","0","1","0","0","0","1","1","0","0"
"*06cmm*","Dominik Szoboszlai","LIV","M","M","18","Dank95","BHA 0<br/>@LIV 2 F","7.7","7.7","100%","0%","1","1","90","0","0.0","0","0","0","0","3","2","0","0","3","0","0","1"
"*062dt*","Joao Palhinha","TOT","M","M","94","FPLL","@NOT Sun 2:00PM","7.68","7.68","64%","-4%","1","1","59","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068yd*","Joao Gomes","WOL","M","M","186","FA","@ARS Sat 8:00PM","7.55","7.55","20%","-2%","1","1","90","0","0.0","0","0","1","1","3","1","0","0","3","0","0","0"
"*06ymu*","El Hadji Malick Diouf","WHU","M","M","91","FA","AVL Sun 2:00PM","7.45","7.45","57%","-4%","1","1","90","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"*06fy7*","Nicolas Dominguez","NOT","M","M","341","FA","TOT Sun 2:00PM","7.45","7.45","1%","0%","1","1","45","0","0.0","0","0","1","0","1","1","0","0","1","0","0","0"
"*06v07*","Rayan Cherki","MCI","M","M","180","joester1","@CRY Sun 2:00PM","7.43","7.43","97%","+2%","1","0","14","0","0.0","1","1","0","0","0","1","0","0","0","0","0","0"
"*068y0*","Antoine Semenyo","BOU","F","F","7","CUM","@MUN Mon 8:00PM","7.4","7.4","100%","0%","1","1","90","0","0.0","0","0","3","0","3","1","1","0","6","0","0","0"
"*06v06*","Tijjani Reijnders","MCI","M","M","145","Rozza08","@CRY Sun 2:00PM","7.38","7.38","91%","-2%","1","1","74","0","0.0","0","0","4","0","2","2","0","0","2","0","0","0"
"*06pia*","Maxence Lacroix","CRY","D","D","13","EDL4EFL","MCI Sun 2:00PM","7.3","7.3","97%","0%","1","1","90","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"*068yc*","Yasin Ayari","BHA","M","M","135","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","7.3","7.3","27%","-4%","1","1","90","0","0.0","0","0","2","0","0","1","0","0","0","0","0","1"
"*04mi4*","Callum Hudson-Odoi","NOT","F","F","228","FA","TOT Sun 2:00PM","7.15","7.15","59%","-4%","1","0","45","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"*06fxe*","Ryan Gravenberch","LIV","M","M","54","Rozza08","BHA 0<br/>@LIV 2 F","7.05","7.05","95%","+1%","1","1","90","0","0.0","0","0","0","0","1","3","0","0","1","0","0","1"
"*070f9*","Yeremy Pino","CRY","M","M","178","ojag7","MCI Sun 2:00PM","6.99","6.99","50%","+2%","1","1","77","0","0.0","0","0","1","0","4","1","0","0","4","1","0","0"
"*06mnc*","Daichi Kamada","CRY","M","M","123","FA","MCI Sun 2:00PM","6.93","6.93","35%","-5%","1","1","84","0","0.0","0","0","1","1","1","1","0","0","1","0","0","0"
"*06nu7*","Riccardo Calafiori","ARS","D","D","22","ojag7","WOL Sat 8:00PM","6.9","6.9","89%","0%","1","1","45","0","0.0","0","0","0","0","1","0","1","0","4","0","0","0"
"*06fxv*","Jean-Ricner Bellegarde","WOL","M","M","219","FA","@ARS Sat 8:00PM","6.86","6.86","13%","0%","1","1","68","0","0.0","0","0","1","0","1","2","0","0","1","0","0","0"
"*02lp9*","Kyle Walker","BUR","D","D","150","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","6.55","6.55","14%","-1%","1","1","90","0","0.0","0","0","0","0","1","2","0","0","1","0","0","0"
"*04ml6*","Konstantinos Mavropanos","WHU","D","D","193","joester1","AVL Sun 2:00PM","6.55","6.55","3%","+1%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*02lnx*","Danny Welbeck","BHA","F","F","107","CTM","BHA 0<br/>@LIV 2 F","6.53","6.53","88%","-4%","1","1","64","0","0.0","0","0","2","0","0","1","0","0","0","0","0","1"
"*05r34*","Amad Diallo","MUN","M","M","55","ojag7","BOU Mon 8:00PM","6.31","6.31","99%","0%","1","1","88","0","0.0","0","0","1","0","2","3","0","0","2","0","0","0"
"*056iy*","Pedro Neto","CHE","F","F","28","BMB","EVE 0<br/>@CHE 2 F","6.3","6.3","100%","0%","1","1","90","0","0.0","0","0","3","0","0","0","0","0","0","1","0","0"
"*05uht*","Morgan Rogers","AVL","M","M","66","FPLL","@WHU Sun 2:00PM","6.3","6.3","99%","0%","1","1","90","0","0.0","0","0","3","1","3","1","0","0","3","0","0","1"
"*06mow*","Jorgen Strand Larsen","WOL","F","F","199","Dank95","@ARS Sat 8:00PM","6.3","6.3","59%","-8%","1","1","90","0","0.0","0","0","1","1","3","1","0","0","3","0","0","0"
"*05ts6*","Yerson Mosquera","WOL","D","D","373","FA","@ARS Sat 8:00PM","6.17","6.17","2%","0%","1","1","76","0","0.0","0","0","2","1","3","2","1","0","6","1","0","0"
"*05g2o*","Joao Pedro","CHE","F","F","52","Dank95","EVE 0<br/>@CHE 2 F","6.08","6.08","100%","0%","1","1","54","0","0.0","0","0","1","1","1","2","0","0","1","0","0","0"
"*04qr9*","Morgan Gibbs-White","NOT","M","M","77","BukAke","TOT Sun 2:00PM","5.98","5.98","99%","0%","1","1","84","0","0.0","0","0","4","0","0","0","0","0","0","0","0","0"
"*06uyc*","Adrien Truffert","BOU","D","D","57","Ekitiki","@MUN Mon 8:00PM","5.95","5.95","93%","+1%","1","1","90","0","0.0","0","0","1","1","1","0","0","0","1","0","0","0"
