"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*0700p*","Malick Thiaw","NEW","D","D","80","EDL4EFL","@SUN Sun 2:00PM","35.05","35.05","64%","-2%","1","1","90","2","2.0","0","2","2","2","1","0","0","0","1","0","0","0"
"*04abb*","Phil Foden","MCI","M","M","43","Ekitiki","@CRY Sun 2:00PM","30.2","30.2","100%","0%","1","1","90","2","2.0","0","2","4","3","3","2","0","0","3","0","0","0"
"*06y9m*","Maxim De Cuyper","BHA","D","D","181","CTM","BHA 0<br/>@LIV 2 F","29.26","29.26","49%","-7%","1","1","83","1","1.0","0","1","1","1","0","2","0","0","0","0","0","1"
"*068lx*","Dango Ouattara","BRF","M","M","72","Dank95","LEE Sun 4:30PM","28.1","28.1","94%","+1%","1","1","90","1","1.0","0","1","3","1","0","1","0","0","0","1","0","0"
"*05gcr*","Bruno Fernandes","MUN","M","M","4","CTM","BOU Mon 8:00PM","26.4","26.4","100%","0%","1","1","90","0","0.0","2","2","1","0","0","1","0","0","0","0","0","0"
"*05oeh*","Kenny Tete","FUL","D","D","102","CTM","FUL 1<br/>@BUR 1","25.8","25.8","69%","+8%","1","1","90","1","1.0","0","1","1","1","1","3","0","0","1","0","0","0"
"*06ab3*","Lewis Miley","NEW","M","M","236","FA","@SUN Sun 2:00PM","25.6","25.6","18%","+2%","1","1","90","1","1.0","1","2","1","1","0","0","0","0","0","0","0","0"
"*06v0p*","Enzo Le Fee","SUN","M","M","112","Fsail93","NEW Sun 2:00PM","25.4","25.4","60%","+5%","1","1","85","1","1.0","1","2","2","1","1","1","0","0","1","0","1","0"
"*06mn0*","Igor Thiago","BRF","F","F","6","Rozza08","LEE Sun 4:30PM","24.76","24.76","98%","0%","1","1","88","2","2.0","0","2","4","2","0","1","0","0","0","1","1","0"
"*067yv*","Cody Gakpo","LIV","F","F","47","CTM","BHA 0<br/>@LIV 2 F","24.75","24.75","99%","-1%","1","1","90","1","1.0","1","2","2","1","2","2","0","0","2","1","0","1"
"*03r93*","Joseph Gomez","LIV","D","D","288","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","22.2","22.2","11%","+4%","1","1","90","0","0.0","1","1","0","0","1","0","0","0","1","0","0","1"
"*05opj*","Elliot Anderson","NOT","M","M","49","Fsail93","TOT Sun 2:00PM","21.95","21.95","98%","0%","1","1","90","0","0.0","0","0","1","0","0","4","0","0","0","0","0","0"
"*051k7*","Reece James","CHE","D","D","26","Fsail93","EVE 0<br/>@CHE 2 F","21.85","21.85","100%","0%","1","1","90","0","0.0","1","1","1","0","0","4","0","0","0","0","0","0"
"*04mup*","Trevoh Chalobah","CHE","D","D","10","CTM","EVE 0<br/>@CHE 2 F","21.3","21.3","89%","0%","1","1","90","1","1.0","0","1","1","1","1","1","0","0","1","0","0","0"
"*067x8*","Nico OReilly","MCI","M","M","82","BMB","@CRY Sun 2:00PM","20.5","20.5","79%","+2%","1","1","90","0","0.0","1","1","2","2","1","1","0","0","1","0","0","0"
"*06mve*","Joshua Zirkzee","MUN","F","F","289","FA","BOU Mon 8:00PM","19.7","19.7","17%","-11%","1","1","90","1","1.0","0","1","1","1","1","0","0","0","1","0","0","0"
"*070g7*","Nick Woltemade","NEW","F","F","108","CUM","@SUN Sun 2:00PM","19.66","19.66","84%","0%","1","1","88","1","1.0","0","1","2","2","2","0","0","0","2","0","0","0"
"*051k0*","John McGinn","AVL","M","M","128","FPLL","@WHU Sun 2:00PM","19.4","19.4","48%","0%","1","1","90","0","0.0","1","1","1","0","1","3","0","0","1","0","0","1"
"*02lsa*","Dan Burn","NEW","D","D","33","Fsail93","@SUN Sun 2:00PM","19.35","19.35","97%","0%","1","1","90","0","0.0","1","1","1","0","0","0","0","0","0","0","0","0"
"*05r8o*","Jean-Philippe Mateta","CRY","F","F","24","CTM","MCI Sun 2:00PM","19.3","19.3","100%","0%","1","1","90","1","1.0","0","1","4","1","1","2","0","0","1","0","1","0"
"*05u7f*","Ibrahima Konate","LIV","D","D","48","feeneya","BHA 0<br/>@LIV 2 F","19.3","19.3","91%","-2%","1","1","90","0","0.0","0","0","0","0","2","0","0","0","2","0","0","1"
"*04e1c*","Lewis Dunk","BHA","D","D","116","feeneya","BHA 0<br/>@LIV 2 F","19.3","19.3","17%","-3%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","1"
"*035n1*","Bertrand Traore","SUN","M","M","218","FA","NEW Sun 2:00PM","19.04","19.04","6%","0%","1","1","62","1","1.0","0","1","3","2","0","1","0","0","0","0","0","0"
"*04hk9*","Mikel Merino","ARS","M","M","133","joester1","WOL Sat 8:00PM","18.8","18.8","80%","-1%","1","1","90","1","1.0","0","1","3","2","3","3","0","0","3","0","0","0"
"*05y9n*","Lewis Hall","NEW","D","D","247","ojag7","@SUN Sun 2:00PM","18.31","18.31","74%","+2%","1","1","88","0","0.0","1","1","1","0","0","0","0","0","0","0","0","0"
"*04yo7*","Youri Tielemans","AVL","M","M","229","BMB","@WHU Sun 2:00PM","18.28","18.28","80%","+1%","1","1","74","0","0.0","0","0","3","2","2","2","0","0","2","0","0","1"
"*06uzo*","Zian Flemming","BUR","M","M","172","ojag7","FUL 1<br/>@BUR 1","17.8","17.8","14%","+1%","1","1","90","1","1.0","0","1","3","2","1","0","0","0","1","0","1","0"
"*06mpp*","Mats Wieffer","BHA","M","M","85","BMB","BHA 0<br/>@LIV 2 F","17.75","17.75","68%","-2%","1","1","90","0","0.0","0","0","2","0","3","1","1","0","6","0","0","1"
"*05u1m*","Nathan Collins","BRF","D","D","115","Ekitiki","LEE Sun 4:30PM","17.45","17.45","58%","+6%","1","1","90","0","0.0","0","0","2","0","0","0","0","0","0","0","0","0"
"*061va*","Boubacar Kamara","AVL","M","M","109","BukAke","@WHU Sun 2:00PM","17.24","17.24","48%","+13%","1","1","87","1","1.0","0","1","1","1","0","2","0","0","0","0","0","1"
"*0646f*","Alexander Isak","LIV","F","F","287","FPLL","BHA 0<br/>@LIV 2 F","17.09","17.09","99%","0%","1","1","67","1","1.0","0","1","3","2","0","0","0","0","0","0","0","1"
"*070ci*","Amine Adli","BOU","F","F","280","FA","@MUN Mon 8:00PM","16.8","16.8","4%","-2%","1","1","70","1","1.0","0","1","2","1","2","2","0","0","2","0","0","0"
"*04y92*","Bukayo Saka","ARS","M","M","36","feeneya","WOL Sat 8:00PM","16.6","16.6","100%","0%","1","1","90","0","0.0","1","1","3","1","0","3","0","0","0","2","0","0"
"*052cd*","Mason Mount","MUN","M","M","214","FA","BOU Mon 8:00PM","16.45","16.45","46%","+12%","1","1","90","1","1.0","0","1","2","1","1","0","0","0","1","0","0","0"
"*049tq*","Dominic Calvert-Lewin","LEE","F","F","117","ojag7","@BRF Sun 4:30PM","16.15","16.15","68%","+23%","1","0","45","1","1.0","0","1","1","1","1","3","0","0","1","2","0","0"
"*05o4b*","Matty Cash","AVL","D","D","30","Ekitiki","@WHU Sun 2:00PM","15.8","15.8","84%","+3%","1","1","90","0","0.0","0","0","1","1","3","3","0","0","3","0","0","1"
"*05gcc*","Kiernan Dewsbury-Hall","EVE","M","M","56","FPLL","EVE 0<br/>@CHE 2 F","15.7","15.7","87%","+2%","1","1","90","1","1.0","0","1","3","1","0","1","0","0","0","0","0","0"
"*062h7*","Tyler Adams","BOU","M","M","110","Rozza08","@MUN Mon 8:00PM","15.65","15.65","28%","-1%","1","1","70","1","1.0","0","1","1","1","0","0","0","0","0","0","0","0"
"*06fv8*","Mohammed Kudus","TOT","M","M","17","Fsail93","@NOT Sun 2:00PM","15.6","15.6","100%","0%","1","1","90","1","1.0","0","1","1","1","1","0","0","0","1","2","0","0"
"*06phe*","Ferdi Kadioglu","BHA","D","D","171","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","15.55","15.55","14%","-6%","1","1","90","0","0.0","0","0","2","1","0","2","0","0","0","0","0","1"
"*052ca*","Ezri Konsa","AVL","D","D","138","Fsail93","@WHU Sun 2:00PM","15.35","15.35","32%","+1%","1","1","90","0","0.0","0","0","0","0","0","2","0","0","0","0","0","1"
"*062og*","Aaron Hickey","BRF","D","D","317","FA","LEE Sun 4:30PM","15.21","15.21","1%","0%","1","1","73","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"*070hc*","Brian Brobbey","SUN","F","F","305","FA","NEW Sun 2:00PM","15.02","15.02","5%","0%","1","0","26","1","1.0","0","1","2","2","0","1","0","0","0","0","0","0"
"*0435m*","Granit Xhaka","SUN","M","M","42","Dank95","NEW Sun 2:00PM","14.85","14.85","86%","-1%","1","1","90","0","0.0","1","1","0","0","1","2","0","0","1","0","0","0"
"*03rxs*","Harry Wilson","FUL","M","M","81","CUM","FUL 1<br/>@BUR 1","14.84","14.84","90%","+15%","1","1","67","1","1.0","0","1","2","1","0","0","0","0","0","1","0","0"
"*06r5b*","Diego Gomez","BHA","M","M","119","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","14.81","14.81","44%","-7%","1","1","83","0","0.0","0","0","2","2","2","0","0","0","2","0","0","1"
"*04tm0*","Lucas Digne","AVL","D","D","98","FPLL","@WHU Sun 2:00PM","14.6","14.6","76%","-1%","1","1","90","0","0.0","0","0","1","0","0","3","0","0","0","0","0","1"
"*06do9*","Milos Kerkez","LIV","D","D","130","Fsail93","BHA 0<br/>@LIV 2 F","14.58","14.58","82%","-1%","1","1","84","0","0.0","0","0","0","0","2","1","0","0","2","0","0","1"
"*0642l*","Casemiro","MUN","M","M","101","EDL4EFL","BOU Mon 8:00PM","14.55","14.55","49%","0%","1","1","90","0","0.0","0","0","3","2","4","1","0","0","4","0","0","0"
"*02lk5*","Jordan Henderson","BRF","M","M","147","FA","LEE Sun 4:30PM","14.45","14.45","12%","+1%","1","1","90","0","0.0","1","1","0","0","1","1","0","0","1","0","0","0"
"*04lnu*","Lukas Nmecha","LEE","F","F","227","FA","@BRF Sun 4:30PM","14.37","14.37","14%","-3%","1","1","81","1","1.0","0","1","3","2","2","1","0","0","2","1","0","0"
"*05ogb*","Anthony Elanga","NEW","F","F","269","FA","@SUN Sun 2:00PM","14.3","14.3","63%","-7%","1","1","70","0","0.0","1","1","1","1","1","0","0","0","1","0","0","0"
"*06dmj*","Jurrien Timber","ARS","D","D","16","joester1","WOL Sat 8:00PM","13.55","13.55","98%","0%","1","1","90","0","0.0","0","0","1","0","2","2","0","0","2","0","0","0"
"*05opl*","Wesley Fofana","CHE","D","D","148","Dank95","EVE 0<br/>@CHE 2 F","13.55","13.55","50%","+17%","1","1","90","0","0.0","0","0","1","0","2","0","0","0","2","0","0","0"
"*070hk*","Samuel Chukwueze","FUL","F","F","220","EDL4EFL","FUL 1<br/>@BUR 1","13.4","13.4","60%","+6%","1","1","80","0","0.0","1","1","2","0","1","1","0","0","1","0","0","0"
"*0427d*","James Tarkowski","EVE","D","D","8","CTM","EVE 0<br/>@CHE 2 F","13.35","13.35","98%","0%","1","1","90","0","0.0","1","1","0","0","0","1","0","0","0","0","0","0"
"*03vlj*","Virgil van Dijk","LIV","D","D","14","Rozza08","BHA 0<br/>@LIV 2 F","13.3","13.3","100%","0%","1","1","90","0","0.0","0","0","1","0","0","1","0","0","0","0","0","1"
"*06crm*","Pau Torres","AVL","D","D","177","FA","@WHU Sun 2:00PM","13.3","13.3","10%","+1%","1","1","90","0","0.0","0","0","1","0","1","0","0","0","1","0","0","1"
"*06yb9*","Reinildo Isnard Mandava","SUN","D","D","188","ojag7","NEW Sun 2:00PM","13.3","13.3","7%","0%","1","1","90","0","0.0","0","0","1","0","2","2","0","0","2","0","0","0"
"*06ex4*","Josko Gvardiol","MCI","D","D","120","Rozza08","@CRY Sun 2:00PM","13.2","13.2","98%","+1%","1","1","90","1","1.0","0","1","2","1","1","1","1","0","4","0","0","0"
"*06fup*","Jeremy Doku","MCI","M","M","19","BukAke","@CRY Sun 2:00PM","12.96","12.96","100%","0%","1","1","88","0","0.0","0","0","0","0","2","1","0","0","2","0","0","0"
"*06p6j*","Evanilson","BOU","F","F","176","feeneya","@MUN Mon 8:00PM","12.83","12.83","89%","-2%","1","1","79","0","0.0","0","0","3","2","1","3","0","0","1","1","0","0"
"*057cr*","Kevin Danso","TOT","D","D","256","FA","@NOT Sun 2:00PM","12.8","12.8","1%","0%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*05n07*","Pedro Porro","TOT","D","D","64","BMB","@NOT Sun 2:00PM","12.75","12.75","100%","0%","1","1","90","0","0.0","0","0","2","0","0","0","0","0","0","0","0","0"
